,seed_repo_owner,seed_repo_name,package_name,package_repo_owner,package_repo_name,package_source
0,nethereum,nethereum,@esbuild/linux-arm64,evanw,esbuild,NPM
1,nethereum,nethereum,@esbuild/linux-x64,evanw,esbuild,NPM
2,nethereum,nethereum,@esbuild/linux-ia32,evanw,esbuild,NPM
3,nethereum,nethereum,@esbuild/android-arm,evanw,esbuild,NPM
4,nethereum,nethereum,is-stream,sindresorhus,is-stream,NPM
5,nethereum,nethereum,yocto-queue,sindresorhus,yocto-queue,NPM
6,apeworx,ape,ijson,icrar,ijson,PYPI
7,apeworx,ape,traitlets,ipython,traitlets,PYPI
8,ethereum,web3.py,eth-typing,ethereum,eth-typing,PYPI
9,vyperlang,vyper,pycryptodome,legrandin,pycryptodome,PYPI
10,vyperlang,titanoboa,vyper,vyperlang,vyper,PYPI
11,apeworx,ape,pytest,pytest-dev,pytest,PYPI
12,apeworx,ape,sqlalchemy,sqlalchemy,sqlalchemy,PYPI
13,ethereum,solidity,sphinx-rtd-theme,readthedocs,sphinx_rtd_theme,PYPI
14,vyperlang,titanoboa,rich,willmcgugan,rich,PYPI
15,vyperlang,titanoboa,requests-cache,requests-cache,requests-cache,PYPI
16,alloy-rs,alloy,jsonrpsee-types,paritytech,jsonrpsee,CARGO
17,nethereum,nethereum,@esbuild/win32-x64,evanw,esbuild,NPM
18,nethereum,nethereum,@esbuild/linux-mips64el,evanw,esbuild,NPM
19,nethereum,nethereum,@esbuild/android-arm64,evanw,esbuild,NPM
20,nethereum,nethereum,@esbuild/win32-arm64,evanw,esbuild,NPM
21,nethereum,nethereum,yallist,isaacs,yallist,NPM
22,nethereum,nethereum,@latticexyz/protocol-parser,latticexyz,mud,NPM
23,nethereum,nethereum,path-key,sindresorhus,path-key,NPM
24,nethereum,nethereum,p-limit,sindresorhus,p-limit,NPM
25,nethereum,nethereum,path-exists,sindresorhus,path-exists,NPM
26,nethereum,nethereum,@solidity-parser/parser,solidity-parser,parser,NPM
27,vyperlang,titanoboa,flake8-bugbear,pycqa,flake8-bugbear,PYPI
28,apeworx,ape,lazyasd,xonsh,lazyasd,PYPI
29,vyperlang,vyper,shibuya,lepture,shibuya,PYPI
30,apeworx,ape,hexbytes,ethereum,hexbytes,PYPI
31,ethereum,py-evm,pytest-asyncio,pytest-dev,pytest-asyncio,PYPI
32,vyperlang,vyper,sphinx,sphinx-doc,sphinx,PYPI
33,alloy-rs,alloy,coins-bip39,summa-tx,coins,CARGO
34,alloy-rs,alloy,dashmap,xacrimon,dashmap,CARGO
35,nethereum,nethereum,which,npm,node-which,NPM
36,nethereum,nethereum,@esbuild/android-x64,evanw,esbuild,NPM
37,nethereum,nethereum,@esbuild/linux-loong64,evanw,esbuild,NPM
38,nethereum,nethereum,ms,vercel,ms,NPM
39,apeworx,ape,prettier,prettier,prettier,NPM
40,nethereum,nethereum,arktype,arktypeio,arktype,NPM
41,apeworx,ape,hardhat,nomiclabs,hardhat,NPM
42,nethereum,nethereum,execa,sindresorhus,execa,NPM
43,nethereum,nethereum,strip-final-newline,sindresorhus,strip-final-newline,NPM
44,nethereum,nethereum,p-locate,sindresorhus,p-locate,NPM
45,ethereum-lists,chains,ajv,ajv-validator,ajv,NPM
46,apeworx,ape,packaging,pypa,packaging,PYPI
47,vyperlang,titanoboa,flake8,pycqa,flake8,PYPI
48,apeworx,ape,eip712,apeworx,eip712,PYPI
49,ethereum,web3.py,eth-hash,ethereum,eth-hash,PYPI
50,ethereum,web3.py,eth-utils,ethereum,eth-utils,PYPI
51,apeworx,ape,eth-abi,ethereum,eth-abi,PYPI
52,ethereum,web3.py,eth-abi,ethereum,eth-abi,PYPI
53,vyperlang,titanoboa,eth-abi,ethereum,eth-abi,PYPI
54,apeworx,ape,pydantic-settings,pydantic,pydantic-settings,PYPI
55,ethereum,web3.py,websockets,aaugustin,websockets,PYPI
56,vyperlang,titanoboa,eth-stdlib,skellet0r,eth-stdlib,PYPI
57,vyperlang,titanoboa,vvm,vyperlang,vvm,PYPI
58,ethereum,py-evm,pytest-xdist,pytest-dev,pytest-xdist,PYPI
59,vyperlang,titanoboa,sphinx,sphinx-doc,sphinx,PYPI
60,vyperlang,vyper,lark,lark-parser,lark,PYPI
61,alloy-rs,alloy,coins-bip32,summa-tx,bitcoins-rs,CARGO
62,nethereum,nethereum,semver,npm,node-semver,NPM
63,nethereum,nethereum,@esbuild/sunos-x64,evanw,esbuild,NPM
64,nethereum,nethereum,esbuild,evanw,esbuild,NPM
65,nethereum,nethereum,@esbuild/openbsd-x64,evanw,esbuild,NPM
66,nethereum,nethereum,graceful-fs,isaacs,node-graceful-fs,NPM
67,nethereum,nethereum,human-signals,ehmicky,human-signals,NPM
68,nethereum,nethereum,@scure/bip32,paulmillr,scure-bip32,NPM
69,nethereum,nethereum,@types/fs-extra,definitelytyped,definitelytyped,NPM
70,ethereum,web3.py,types-requests,python,typeshed,PYPI
71,apeworx,ape,click,pallets,click,PYPI
72,ethereum,web3.py,eth-account,ethereum,eth-account,PYPI
73,apeworx,ape,web3,ethereum,web3.py,PYPI
74,apeworx,ape,trie,ethereum,py-trie,PYPI
75,ethereum,solidity,sphinx,sphinx-doc,sphinx,PYPI
76,apeworx,ape,rich,willmcgugan,rich,PYPI
77,ethereum,py-evm,hypothesis,hypothesisworks,hypothesis,PYPI
78,alloy-rs,alloy,trezor-client,trezor,trezor-firmware,CARGO
79,alloy-rs,alloy,http,hyperium,http,CARGO
80,alloy-rs,alloy,async-stream,tokio-rs,async-stream,CARGO
81,alloy-rs,alloy,bytes,tokio-rs,bytes,CARGO
82,alloy-rs,alloy,arbitrary,rust-fuzz,arbitrary,CARGO
83,alloy-rs,alloy,tempfile,stebalien,tempfile,CARGO
84,alloy-rs,alloy,bincode,bincode-org,bincode,CARGO
85,nethereum,nethereum,viem,wevm,viem,NPM
86,nethereum,nethereum,abitype,wevm,abitype,NPM
87,nethereum,nethereum,retry,tim-kos,node-retry,NPM
88,nethereum,nethereum,prettier,prettier,prettier,NPM
89,nethereum,nethereum,zod,colinhacks,zod,NPM
90,nethereum,nethereum,find-up,sindresorhus,find-up,NPM
91,nethereum,nethereum,p-retry,sindresorhus,p-retry,NPM
92,nethereum,nethereum,p-timeout,sindresorhus,p-timeout,NPM
93,nethereum,nethereum,locate-path,sindresorhus,locate-path,NPM
94,nethereum,nethereum,solidity-comments-extractor,prettier-solidity,solidity-comments-extractor,NPM
95,ethereum,py-evm,mypy,python,mypy,PYPI
96,vyperlang,titanoboa,nest-asyncio,erdewit,nest_asyncio,PYPI
97,vyperlang,titanoboa,ipython,ipython,ipython,PYPI
98,apeworx,ape,ipython,ipython,ipython,PYPI
99,ethereum,web3.py,aiohttp,aio-libs,aiohttp,PYPI
100,apeworx,ape,python-dateutil,dateutil,dateutil,PYPI
101,vyperlang,titanoboa,py-evm,ethereum,py-evm,PYPI
102,apeworx,ape,py-geth,ethereum,py-geth,PYPI
103,apeworx,ape,pydantic,pydantic,pydantic,PYPI
104,apeworx,ape,asttokens,gristlabs,asttokens,PYPI
105,nethereum,nethereum,@esbuild/darwin-arm64,evanw,esbuild,NPM
106,nethereum,nethereum,@scure/base,paulmillr,scure-base,NPM
107,nethereum,nethereum,@types/retry,definitelytyped,definitelytyped,NPM
108,ethereum,web3.py,requests,psf,requests,PYPI
109,vyperlang,vyper,wheel,pypa,wheel,PYPI
110,apeworx,ape,toml,uiri,toml,PYPI
111,apeworx,ape,pyyaml,yaml,pyyaml,PYPI
112,apeworx,ape,eth-pydantic-types,apeworx,eth-pydantic-types,PYPI
113,vyperlang,titanoboa,eth-account,ethereum,eth-account,PYPI
114,apeworx,ape,eth-account,ethereum,eth-account,PYPI
115,vyperlang,titanoboa,pre-commit,pre-commit,pre-commit,PYPI
116,ethereum,py-evm,pytest-cov,pytest-dev,pytest-cov,PYPI
117,alloy-rs,alloy,coins-ledger,summa-tx,coins,CARGO
118,alloy-rs,alloy,ws_stream_wasm,najamelan,ws_stream_wasm,CARGO
119,alloy-rs,alloy,yubihsm,iqlusioninc,yubihsm.rs,CARGO
120,nethereum,nethereum,@esbuild/linux-arm,evanw,esbuild,NPM
121,nethereum,nethereum,@esbuild/freebsd-arm64,evanw,esbuild,NPM
122,nethereum,nethereum,isexe,isaacs,isexe,NPM
123,nethereum,nethereum,@adraffy/ens-normalize,adraffy,ens-normalize.js,NPM
124,ethereum-lists,chains,require-from-string,floatdrop,require-from-string,NPM
125,nethereum,nethereum,@noble/hashes,paulmillr,noble-hashes,NPM
126,nethereum,nethereum,@noble/curves,paulmillr,noble-curves,NPM
127,nethereum,nethereum,@latticexyz/schema-type,latticexyz,mud,NPM
128,nethereum,nethereum,@latticexyz/world-modules,latticexyz,mud,NPM
129,nethereum,nethereum,cross-spawn,moxystudio,node-cross-spawn,NPM
130,nethereum,nethereum,fs-extra,jprichardson,node-fs-extra,NPM
131,nethereum,nethereum,p-queue,sindresorhus,p-queue,NPM
132,nethereum,nethereum,npm-run-path,sindresorhus,npm-run-path,NPM
133,nethereum,nethereum,antlr4ts,tunnelvisionlabs,antlr4ts,NPM
134,apeworx,ape,tqdm,tqdm,tqdm,PYPI
135,ethereum,py-evm,flake8,pycqa,flake8,PYPI
136,apeworx,ape,ethpm-types,apeworx,ethpm-types,PYPI
137,vyperlang,titanoboa,eth-typing,ethereum,eth-typing,PYPI
138,apeworx,ape,eth-typing,ethereum,eth-typing,PYPI
139,apeworx,ape,eth-utils,ethereum,eth-utils,PYPI
140,ethereum,web3.py,pyunormalize,mlodewijck,pyunormalize,PYPI
141,apeworx,ape,pandas,pandas-dev,pandas,PYPI
142,apeworx,ape,watchdog,gorakhargosh,watchdog,PYPI
143,alloy-rs,alloy,aws-sdk-kms,awslabs,aws-sdk-rust,CARGO
144,alloy-rs,alloy,gcloud-sdk,abdolence,gcloud-sdk-rs,CARGO
145,alloy-rs,alloy,interprocess,kotauskas,interprocess,CARGO
146,nethereum,nethereum,@esbuild/linux-riscv64,evanw,esbuild,NPM
147,nethereum,nethereum,@esbuild/freebsd-x64,evanw,esbuild,NPM
148,nethereum,nethereum,merge-stream,grncdr,merge-stream,NPM
149,ethereum-lists,chains,uri-js,garycourt,uri-js,NPM
150,nethereum,nethereum,@scure/bip39,paulmillr,scure-bip39,NPM
151,nethereum,nethereum,@latticexyz/config,latticexyz,mud,NPM
152,nethereum,nethereum,@latticexyz/store,latticexyz,mud,NPM
153,nethereum,nethereum,ws,websockets,ws,NPM
154,ethereum-lists,chains,json-schema-traverse,epoberezkin,json-schema-traverse,NPM
155,vyperlang,titanoboa,mypy,python,mypy,PYPI
156,ethereum,web3.py,typing-extensions,python,typing_extensions,PYPI
157,apeworx,ape,evmchains,apeworx,evmchains,PYPI
158,ethereum,py-evm,ipython,ipython,ipython,PYPI
159,ethereum,py-evm,tox,tox-dev,tox,PYPI
160,vyperlang,vyper,cbor2,agronholm,cbor2,PYPI
161,ethereum,py-evm,pytest,pytest-dev,pytest,PYPI
162,vyperlang,titanoboa,pytest-xdist,pytest-dev,pytest-xdist,PYPI
163,apeworx,ape,pluggy,pytest-dev,pluggy,PYPI
164,ethereum,solidity,sphinx-a4doc,taminomara,sphinx-a4doc,PYPI
165,vyperlang,titanoboa,sphinx-rtd-theme,readthedocs,sphinx_rtd_theme,PYPI
166,vyperlang,titanoboa,jupyter-server,jupyter-server,jupyter_server,PYPI
167,vyperlang,titanoboa,hypothesis,hypothesisworks,hypothesis,PYPI
168,alloy-rs,alloy,aws-config,smithy-lang,smithy-rs,CARGO
169,nethereum,nethereum,isows,wevm,isows,NPM
170,nethereum,nethereum,@esbuild/win32-ia32,evanw,esbuild,NPM
171,nethereum,nethereum,shebang-command,kevva,shebang-command,NPM
172,nethereum,nethereum,lru-cache,isaacs,node-lru-cache,NPM
173,nethereum,nethereum,eventemitter3,primus,eventemitter3,NPM
174,nethereum,nethereum,jsonfile,jprichardson,node-jsonfile,NPM
175,nethereum,nethereum,shebang-regex,sindresorhus,shebang-regex,NPM
176,nethereum,nethereum,get-stream,sindresorhus,get-stream,NPM
177,ethereum-lists,chains,punycode,mathiasbynens,punycode.js,NPM
178,nethereum,nethereum,@types/node,definitelytyped,definitelytyped,NPM
179,nethereum,nethereum,prettier-plugin-solidity,prettier-solidity,prettier-plugin-solidity,NPM
180,vyperlang,titanoboa,requests,psf,requests,PYPI
181,apeworx,ape,numpy,numpy,numpy,PYPI
182,vyperlang,titanoboa,typing-extensions,python,typing_extensions,PYPI
183,vyperlang,vyper,importlib-metadata,python,importlib_metadata,PYPI
184,ethereum,web3.py,pydantic,pydantic,pydantic,PYPI
185,vyperlang,titanoboa,pytest,pytest-dev,pytest,PYPI
186,vyperlang,titanoboa,pytest-cov,pytest-dev,pytest-cov,PYPI
187,apeworx,ape,cchecksum,bobthebuidler,cchecksum,PYPI
188,vyperlang,vyper,sphinx-copybutton,executablebooks,sphinx-copybutton,PYPI
189,alloy-rs,alloy,eth-keystore,roynalnaruto,eth-keystore-rs,CARGO
190,nethereum,nethereum,@esbuild/linux-ppc64,evanw,esbuild,NPM
191,nethereum,nethereum,@esbuild/linux-s390x,evanw,esbuild,NPM
192,nethereum,nethereum,@esbuild/darwin-x64,evanw,esbuild,NPM
193,nethereum,nethereum,@esbuild/netbsd-x64,evanw,esbuild,NPM
194,nethereum,nethereum,signal-exit,tapjs,signal-exit,NPM
195,nethereum,nethereum,zod-validation-error,causaly,zod-validation-error,NPM
196,nethereum,nethereum,universalify,ryanzim,universalify,NPM
197,nethereum,nethereum,debug,debug-js,debug,NPM
198,nethereum,nethereum,@latticexyz/world,latticexyz,mud,NPM
199,nethereum,nethereum,@latticexyz/common,latticexyz,mud,NPM
200,ethereum-lists,chains,fast-deep-equal,epoberezkin,fast-deep-equal,NPM
201,nethereum,nethereum,mimic-fn,sindresorhus,mimic-fn,NPM
202,nethereum,nethereum,onetime,sindresorhus,onetime,NPM
203,apeworx,ape,requests,psf,requests,PYPI
204,vyperlang,titanoboa,black,psf,black,PYPI
205,vyperlang,vyper,packaging,pypa,packaging,PYPI
206,vyperlang,titanoboa,isort,pycqa,isort,PYPI
207,apeworx,ape,evm-trace,apeworx,evm-trace,PYPI
208,ethereum,py-evm,bumpversion,peritus,bumpversion,PYPI
209,apeworx,ape,urllib3,urllib3,urllib3,PYPI
210,ethereum,py-evm,eth-hash,ethereum,eth-hash,PYPI
211,ethereum,web3.py,hexbytes,ethereum,hexbytes,PYPI
212,vyperlang,vyper,asttokens,gristlabs,asttokens,PYPI
213,vyperlang,titanoboa,mkdocs-material,squidfunk,mkdocs-material,PYPI
214,alloy-rs,alloy,wasm-bindgen-futures,rustwasm,wasm-bindgen,CARGO
215,ethereum,fe,serde_urlencoded,nox,serde_urlencoded,CARGO
216,ethereum,fe,option-ext,soc,option-ext,CARGO
