repo,market
sigp/lighthouse,0.06639295
NethermindEth/nethermind,0.05877972
ethereum/EIPs,0.05043093
NomicFoundation/hardhat,0.04733774
ethereum/go-ethereum,0.04667966
argotorg/solidity,0.04155901
libp2p/libp2p,0.04114962
ethereum/consensus-specs,0.03666126
foundry-rs/foundry,0.03501312
ethereum/execution-apis,0.03145092
risc0/risc0-ethereum,0.02911147
OpenZeppelin/openzeppelin-contracts,0.02807653
supranational/blst,0.02316734
hyperledger/besu,0.02215461
ethers-io/ethers.js,0.02124556
flashbots/mev-boost,0.02047388
ethereum/py_ecc,0.01836148
OffchainLabs/prysm,0.01833946
ethstaker/eth-docker,0.01647857
l2beat/l2beat,0.01399596
flashbots/rbuilder,0.01341765
flashbots/mev-boost-relay,0.01310602
safe-global/safe-smart-account,0.01282214
argotorg/act,0.01221025
Consensys/teku,0.01199244
argotorg/sourcify,0.01132236
blockscout/blockscout,0.01060667
DefiLlama/chainlist,0.01054955
remix-project-org/remix-project,0.01028600
ChainSafe/lodestar,0.00944125
succinctlabs/sp1,0.00914118
DefiLlama/DefiLlama-Adapters,0.00898980
dappnode/DAppNode,0.00877136
LFDT-web3j/web3j,0.00870931
Nethereum/Nethereum,0.00856165
paradigmxyz/reth,0.00723913
eth-infinitism/account-abstraction,0.00679308
ethereum-lists/chains,0.00613009
argotorg/hevm,0.00582007
ethpandaops/checkpointz,0.00502196
erigontech/erigon,0.00456960
argotorg/fe,0.00451464
a16z/helios,0.00409239
arkworks-rs/algebra,0.00397026
wighawag/hardhat-deploy,0.00393902
succinctlabs/op-succinct,0.00388892
Consensys/gnark-crypto,0.00372041
grandinetech/grandine,0.00359461
vyperlang/vyper,0.00358277
Vectorized/solady,0.00348037
otterscan/otterscan,0.00339716
scaffold-eth/scaffold-eth-2,0.00336605
ethereum/web3.py,0.00335295
lambdaclass/lambda_ethereum_consensus,0.00331262
wevm/viem,0.00325939
alloy-rs/alloy,0.00306959
status-im/nimbus-eth2,0.00305917
paulmillr/noble-curves,0.00301544
ethereum/js-ethereum-cryptography,0.00294747
ChainSafe/bls,0.00293864
lambdaclass/lambdaworks,0.00291377
herumi/mcl,0.00266406
protofire/solhint,0.00264839
skalenetwork/libBLS,0.00261811
NethermindEth/juno,0.00261079
ipsilon/evmone,0.00253490
lambdaclass/ethrex,0.00249891
taikoxyz/taiko-mono,0.00232323
axiom-crypto/snark-verifier,0.00229254
aestus-relay/mev-boost-relay,0.00224917
shazow/whatsabi,0.00224737
wealdtech/ethdo,0.00222545
ethpandaops/ethereum-helm-charts,0.00222501
Commit-Boost/commit-boost-client,0.00220706
TrueBlocks/trueblocks-core,0.00208311
OffchainLabs/stylus-sdk-rs,0.00207190
edb-rs/edb,0.00206983
holiman/goevmlab,0.00199365
erigontech/silkworm,0.00199265
ethstaker/ethstaker-deposit-cli,0.00197994
vyperlang/titanoboa,0.00197638
Plonky3/Plonky3,0.00196004
Cyfrin/aderyn,0.00193164
Certora/CertoraProver,0.00181588
intellij-solidity/intellij-solidity,0.00180845
ApeWorX/ape,0.00179763
powdr-labs/powdr,0.00176310
EspressoSystems/jellyfish,0.00173182
deepfunding/dependency-graph,0.00172940
a16z/halmos,0.00169804
ethdebug/format,0.00154246
smartcontracts/simple-optimism-node,0.00153923
swiss-knife-xyz/swiss-knife,0.00153094
dl-solarity/solidity-lib,0.00144020
succinctlabs/rsp,0.00137876
0xMiden/miden-vm,0.00134364
evmts/tevm-monorepo,0.00116543
ethpandaops/ethereum-package,0.00094592
